source_id,canonical_url,save_page_now_url,capture_url_recorded,sha256_recorded,archive_status,archive_date,verified_by
S-0001,https://department.va.gov/administrations-and-offices/management/budget/,https://web.archive.org/save/https://department.va.gov/administrations-and-offices/management/budget/,,,PENDING,,
S-0002,https://department.va.gov/wp-content/uploads/2026/04/2027-BiB.pdf,https://web.archive.org/save/https://department.va.gov/wp-content/uploads/2026/04/2027-BiB.pdf,,,PENDING,,
S-0003,https://department.va.gov/wp-content/uploads/2025/05/2026-Budget-Highlights-Complete.pdf,https://web.archive.org/save/https://department.va.gov/wp-content/uploads/2025/05/2026-Budget-Highlights-Complete.pdf,,,PENDING,,
S-0004,https://www.congress.gov/bill/119th-congress/house-bill/5371,https://web.archive.org/save/https://www.congress.gov/bill/119th-congress/house-bill/5371,,,PENDING,,
S-0005,https://www.appropriations.senate.gov/imo/media/doc/mcva_divdjes.pdf,https://web.archive.org/save/https://www.appropriations.senate.gov/imo/media/doc/mcva_divdjes.pdf,,,PENDING,,
S-0006,https://www.congress.gov,https://web.archive.org/save/https://www.congress.gov,,,PENDING,,
S-0007,https://www.congress.gov/crs-product/R48968,https://web.archive.org/save/https://www.congress.gov/crs-product/R48968,,,PENDING,,
S-0008,https://department.va.gov/wp-content/uploads/2026/01/2025-Department-of-Veterans-Affairs-FY-2025-Agency-Financial-Report-AFR-Final.pdf,https://web.archive.org/save/https://department.va.gov/wp-content/uploads/2026/01/2025-Department-of-Veterans-Affairs-FY-2025-Agency-Financial-Report-AFR-Final.pdf,,,PENDING,,
S-0009,https://department.va.gov/administrations-and-offices/management/finance/agency-financial-report/,https://web.archive.org/save/https://department.va.gov/administrations-and-offices/management/finance/agency-financial-report/,,,PENDING,,
S-0010,https://department.va.gov/about/va-plans-budget-finances-and-performance/,https://web.archive.org/save/https://department.va.gov/about/va-plans-budget-finances-and-performance/,,,PENDING,,
S-0011,https://www.congress.gov/bill/117th-congress/house-bill/3967,https://web.archive.org/save/https://www.congress.gov/bill/117th-congress/house-bill/3967,,,PENDING,,
S-0012,https://www.congress.gov/bill/115th-congress/senate-bill/2372,https://web.archive.org/save/https://www.congress.gov/bill/115th-congress/senate-bill/2372,,,PENDING,,
S-0013,https://www.congress.gov/bill/115th-congress/house-bill/2288,https://web.archive.org/save/https://www.congress.gov/bill/115th-congress/house-bill/2288,,,PENDING,,
S-0014,https://uscode.house.gov,https://web.archive.org/save/https://uscode.house.gov,,,PENDING,,
S-0015,https://www.ecfr.gov,https://web.archive.org/save/https://www.ecfr.gov,,,PENDING,,
S-0016,https://www.cbo.gov/publication/62472,https://web.archive.org/save/https://www.cbo.gov/publication/62472,,,PENDING,,
S-0017,https://www.whitehouse.gov/wp-content/uploads/2026/04/appendix_fy2027.pdf,https://web.archive.org/save/https://www.whitehouse.gov/wp-content/uploads/2026/04/appendix_fy2027.pdf,,,PENDING,,
S-0020,https://www.gao.gov/products/gao-25-107743,https://web.archive.org/save/https://www.gao.gov/products/gao-25-107743,,,PENDING,,
S-0021,https://www.gao.gov/high-risk-list,https://web.archive.org/save/https://www.gao.gov/high-risk-list,,,PENDING,,
S-0022,https://www.gao.gov/reports-testimonies/recommendations-database,https://web.archive.org/save/https://www.gao.gov/reports-testimonies/recommendations-database,,,PENDING,,
S-0023,https://www.vaoig.gov,https://web.archive.org/save/https://www.vaoig.gov,,,PENDING,,
S-0024,https://www.vaoig.gov/reports,https://web.archive.org/save/https://www.vaoig.gov/reports,,,PENDING,,
S-0025,https://www.vaoig.gov/reports/national-healthcare-review/oig-determination-veterans-health-administrations-severe-1,https://web.archive.org/save/https://www.vaoig.gov/reports/national-healthcare-review/oig-determination-veterans-health-administrations-severe-1,,,PENDING,,
S-0026,https://www.vaoig.gov/reports/audit/audit-vas-financial-statements-fiscal-year-2025,https://web.archive.org/save/https://www.vaoig.gov/reports/audit/audit-vas-financial-statements-fiscal-year-2025,,,PENDING,,
S-0027,https://www.benefits.va.gov/REPORTS/abr/docs/2025-abr.pdf,https://web.archive.org/save/https://www.benefits.va.gov/REPORTS/abr/docs/2025-abr.pdf,,,PENDING,,
S-0028,https://www.benefits.va.gov/reports/detailed_claims_data.asp,https://web.archive.org/save/https://www.benefits.va.gov/reports/detailed_claims_data.asp,,,PENDING,,
S-0029,https://department.va.gov/board-of-veterans-appeals/wp-content/uploads/sites/19/2025/04/2024_bva2024ar.pdf,https://web.archive.org/save/https://department.va.gov/board-of-veterans-appeals/wp-content/uploads/sites/19/2025/04/2024_bva2024ar.pdf,,,PENDING,,
S-0030,https://benefits.va.gov/REPORTS/AMA/CMR/2025/cmr-appeals-modernization-feb-2025.pdf,https://web.archive.org/save/https://benefits.va.gov/REPORTS/AMA/CMR/2025/cmr-appeals-modernization-feb-2025.pdf,,,PENDING,,
S-0101,https://www.mentalhealth.va.gov/docs/data-sheets/2025/2025_Annual_Report_Part_1_508.pdf,https://web.archive.org/save/https://www.mentalhealth.va.gov/docs/data-sheets/2025/2025_Annual_Report_Part_1_508.pdf,,,PENDING,,
S-0102,https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html,https://web.archive.org/save/https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html,,,PENDING,,
S-0103,https://www.gao.gov/products/gao-26-108812,https://web.archive.org/save/https://www.gao.gov/products/gao-26-108812,,,PENDING,,
S-0104,https://www.gao.gov/products/gao-26-108474,https://web.archive.org/save/https://www.gao.gov/products/gao-26-108474,,,PENDING,,
S-0105,https://www.vaoig.gov,https://web.archive.org/save/https://www.vaoig.gov,,,PENDING,,
S-0106,https://www.vaoig.gov,https://web.archive.org/save/https://www.vaoig.gov,,,PENDING,,
S-0107,https://www.congress.gov/crs-product/R48608,https://web.archive.org/save/https://www.congress.gov/crs-product/R48608,,,PENDING,,
S-0108,https://www.congress.gov/congressional-record,https://web.archive.org/save/https://www.congress.gov/congressional-record,,,PENDING,,
S-0109,https://www.va.gov/VETDATA/docs/Demographics/New_Vetpop_Model/1L_VetPop2023_National_NCVAS.xlsx,https://web.archive.org/save/https://www.va.gov/VETDATA/docs/Demographics/New_Vetpop_Model/1L_VetPop2023_National_NCVAS.xlsx,,,PENDING,,
S-0111,https://www.gao.gov/products/gao-25-108101,https://web.archive.org/save/https://www.gao.gov/products/gao-25-108101,,,PENDING,,
S-0112,https://www.gao.gov/products/gao-24-106410,https://web.archive.org/save/https://www.gao.gov/products/gao-24-106410,,,PENDING,,
S-0113,https://files.gao.gov/reports/GAO-25-106910/index.html,https://web.archive.org/save/https://files.gao.gov/reports/GAO-25-106910/index.html,,,PENDING,,
S-0114,https://files.gao.gov/reports/GAO-25-107212/index.html,https://web.archive.org/save/https://files.gao.gov/reports/GAO-25-107212/index.html,,,PENDING,,
S-0115,https://files.gao.gov/reports/GAO-25-106678/index.html,https://web.archive.org/save/https://files.gao.gov/reports/GAO-25-106678/index.html,,,PENDING,,
S-0116,https://www.gao.gov/products/gao-23-105290,https://web.archive.org/save/https://www.gao.gov/products/gao-23-105290,,,PENDING,,
