source_id,canonical_url,save_page_now_url,capture_url_recorded,sha256_recorded,archive_status,archive_date,verified_by,archive_failure_date,archive_failure_reason,archive_attempted_url
S-0001,https://department.va.gov/administrations-and-offices/management/budget/,https://web.archive.org/save/https://department.va.gov/administrations-and-offices/management/budget/,https://web.archive.org/web/20260704030010/https://department.va.gov/administrations-and-offices/management/budget/,cf056c81b7588c7532364de9d7d41d52415a168e6a96e04750f0b07fe9de4b9a,ARCHIVED,2026-07-04,CAL,,,
S-0002,https://department.va.gov/wp-content/uploads/2026/04/2027-BiB.pdf,https://web.archive.org/save/https://department.va.gov/wp-content/uploads/2026/04/2027-BiB.pdf,https://web.archive.org/web/20260413233134/https://department.va.gov/wp-content/uploads/2026/04/2027-BiB.pdf,0d79943bde4623d22ee824175b7f3a31620eb105194f3ec0e5071b80b0bda080,ARCHIVED,2026-04-13,CAL,,,
S-0003,https://department.va.gov/wp-content/uploads/2025/05/2026-Budget-Highlights-Complete.pdf,https://web.archive.org/save/https://department.va.gov/wp-content/uploads/2025/05/2026-Budget-Highlights-Complete.pdf,https://web.archive.org/web/20260409174440/https://department.va.gov/wp-content/uploads/2025/05/2026-Budget-Highlights-Complete.pdf,1e6703f6c07ea2487e748798215c7fc408cf7deb9a2b19469959b22f7c6891f5,ARCHIVED,2026-04-09,CAL,,,
S-0004,https://www.congress.gov/bill/119th-congress/house-bill/5371,https://web.archive.org/save/https://www.congress.gov/bill/119th-congress/house-bill/5371,https://web.archive.org/web/20260704032419/https://www.congress.gov/bill/119th-congress/house-bill/5371,29e7b0c93ee0a38c9782553da6866640e54cfb07224d1cd8a755d5d9de083b19,ARCHIVED,2026-07-04,CAL,,,
S-0005,https://www.appropriations.senate.gov/imo/media/doc/mcva_divdjes.pdf,https://web.archive.org/save/https://www.appropriations.senate.gov/imo/media/doc/mcva_divdjes.pdf,https://web.archive.org/web/20260626003829/https://www.appropriations.senate.gov/imo/media/doc/mcva_divdjes.pdf,f8805ca33e76bdf1e33ac7a8382e44cb0772a58d2a0128630e1d15bd4c3e72e3,ARCHIVED,2026-06-26,CAL,,VALIDATION DEFECT: hash collision with S-0006 (one file hashed for two documents) — recapture to disambiguate,
S-0006,https://www.congress.gov/bill/119th-congress/house-bill/1968,https://web.archive.org/save/https://www.congress.gov/bill/119th-congress/house-bill/1968,https://web.archive.org/web/20260704131047/https://www.congress.gov/bill/119th-congress/house-bill/1968,25389050418b3111bc3455d655177260051b1ad81c3d04cd3d0d24783e459dca,ARCHIVED,2026-07-03,CAL,,"VALIDATION DEFECT: canonical URL was truncated to bare domain by manifest generator; archived object = congress.gov homepage, not P.L. 119-4; CORRECT canonical: https://www.congress.gov/bill/119th-congress/house-bill/1968",
S-0007,https://www.congress.gov/crs-product/R48968,https://web.archive.org/save/https://www.congress.gov/crs-product/R48968,https://web.archive.org/web/20260703194820/https://www.congress.gov/crs-product/R48968,4500a1542e60a14d76345460d8e217a49dd4a026c8e4dfac2d5d66c66010cbb7,ARCHIVED,2026-07-03,CAL,,,
S-0008,https://department.va.gov/wp-content/uploads/2026/01/2025-Department-of-Veterans-Affairs-FY-2025-Agency-Financial-Report-AFR-Final.pdf,https://web.archive.org/save/https://department.va.gov/wp-content/uploads/2026/01/2025-Department-of-Veterans-Affairs-FY-2025-Agency-Financial-Report-AFR-Final.pdf,https://web.archive.org/web/20260415192640/https://department.va.gov/wp-content/uploads/2026/01/2025-Department-of-Veterans-Affairs-FY-2025-Agency-Financial-Report-AFR-Final.pdf,48443341a9bde4da4e4e0b7c01f3869001e9525d45f23e828213ee391df5903e,ARCHIVED,2026-04-15,C,,,
S-0009,https://department.va.gov/administrations-and-offices/management/finance/agency-financial-report/,https://web.archive.org/save/https://department.va.gov/administrations-and-offices/management/finance/agency-financial-report/,https://web.archive.org/web/20260704033248/https://department.va.gov/administrations-and-offices/management/finance/agency-financial-report/,35fa617f3393529f9b21deff417e3ea271cfab1574c14e3e1a472953a0e68b3e,ARCHIVED,2026-04-15,CAL,,,
S-0010,https://department.va.gov/about/va-plans-budget-finances-and-performance/,https://web.archive.org/save/https://department.va.gov/about/va-plans-budget-finances-and-performance/,https://web.archive.org/web/20260704033400/https://department.va.gov/about/va-plans-budget-finances-and-performance/,324ed71704ba4aace6b3bb7e1abe32261a1f39aa12800b4047b6a7ebdf8e3d7f,ARCHIVED,2026-04-15,C,,,
S-0011,https://www.congress.gov/bill/117th-congress/house-bill/3967,https://web.archive.org/save/https://www.congress.gov/bill/117th-congress/house-bill/3967,https://web.archive.org/web/20260704033509/https://www.congress.gov/bill/117th-congress/house-bill/3967,b52f7478ac3025fbf5de4624f7ecebf3e89e881fcbfad3898471538d19dc32d4,ARCHIVED,2026-07-04,CAL,,,
S-0012,https://www.congress.gov/bill/115th-congress/senate-bill/2372,https://web.archive.org/save/https://www.congress.gov/bill/115th-congress/senate-bill/2372,https://web.archive.org/web/20260704141833/https://www.congress.gov/bill/115th-congress/senate-bill/2372,020655aeac773d9228bb2439f8a8a013963b6ab363e0bb9a52b6ad66cebf5305,ARCHIVED,2026-07-04,CAL,,,
S-0013,https://www.congress.gov/bill/115th-congress/house-bill/2288,https://web.archive.org/save/https://www.congress.gov/bill/115th-congress/house-bill/2288,https://web.archive.org/web/20170601090317/https://www.congress.gov/bill/115th-congress/house-bill/2288,e62f4e7f3677b33813d674dc3e2527be2db755d34ccc855b19b90ad505fa55d7,ARCHIVED,2017-06-01,CAL,,,
S-0014,https://uscode.house.gov,https://web.archive.org/save/https://uscode.house.gov,https://web.archive.org/web/20260704034140/https://uscode.house.gov/,b0272fc91ca561046b0a3daa768bf68d0765c23c2d5ee9ec2cbedb3bb2d543bf,ARCHIVED,2026-07-04,CAL,,,
S-0015,https://www.ecfr.gov,https://web.archive.org/save/https://www.ecfr.gov,https://web.archive.org/web/20260703201741/https://unblock.federalregister.gov/,3191dc8ebd85f5a0f9d7c1907fe6a54e6fa11b5323b2c5992ddaffeba31a94b7,ARCHIVED,2026-07-03,C,,,
S-0016,https://www.cbo.gov/publication/62472,https://web.archive.org/save/https://www.cbo.gov/publication/62472,https://web.archive.org/web/20260704102210/https://www.cbo.gov/publication/62472,11f8c255b0905ae9fb6a76bde80b2735f968a1c218833b755082c5a714ce429f,ARCHIVED,2026-07-04,CAL,,,
S-0017,https://www.whitehouse.gov/wp-content/uploads/2026/04/appendix_fy2027.pdf,https://web.archive.org/save/https://www.whitehouse.gov/wp-content/uploads/2026/04/appendix_fy2027.pdf,https://web.archive.org/web/20260524204543/https://www.whitehouse.gov/wp-content/uploads/2026/04/appendix_fy2027.pdf,bb50ce7a710db53a45249ce0524e1ab14f00813427cf3a38515638ad1dd7de27,ARCHIVED,2026-05-24,CAL,,,
S-0020,https://www.gao.gov/products/gao-25-107743,https://web.archive.org/save/https://www.gao.gov/products/gao-25-107743,https://web.archive.org/web/20250225150311/https://www.gao.gov/products/gao-25-107743,5ac2d3d4ea0dd098257ebf0625c4efa6eeba94a4bacc0a87f79e015dee6166f8,ARCHIVED,2025-02-25,C,,,
S-0021,https://www.gao.gov/high-risk-list,https://web.archive.org/save/https://www.gao.gov/high-risk-list,https://web.archive.org/web/20200225022729/https://www.gao.gov/high-risk-list,4749266be1dd367241598c423fbd10fd71ef4dc2847e0cd209d1d913d28a7745,ARCHIVED,2020-02-25,C,,,
S-0022,https://www.gao.gov/reports-testimonies/recommendations-database,https://web.archive.org/save/https://www.gao.gov/reports-testimonies/recommendations-database,https://web.archive.org/web/20260526150625/https://www.gao.gov/reports-testimonies/recommendations-database,76f42d7f0b500acec30f5e91ee41cbea2f6c27ab2d9a89f913aab89fc914e7ac,ARCHIVED,2026-05-26,C,,,
S-0023,https://www.vaoig.gov,https://web.archive.org/save/https://www.vaoig.gov,https://web.archive.org/web/20260704104245/https://www.vaoig.gov/,2ed6ce8bce075c03a48c4290372a31f1963e7ab8ed4395fdaa91179bc159cf85,ARCHIVED,2026-07-04,CAL,,,
S-0024,https://www.vaoig.gov/reports,https://web.archive.org/save/https://www.vaoig.gov/reports,https://web.archive.org/save/https://www.vaoig.gov/reports,,ATTEMPT_FAILED,2026-07-04,CAL,2026-07-04,"Wayback capture attempted on 2026-07-04. Save Page Now returned ""Job failed."" CDX lookup found no existing archived snapshots for the canonical URL (https://www.vaoig.gov/reports). Archive unavailable at time of verification.",https://web.archive.org/save/https://www.vaoig.gov/reports
S-0025,https://www.vaoig.gov/reports/national-healthcare-review/oig-determination-veterans-health-administrations-severe-1,https://web.archive.org/save/https://www.vaoig.gov/reports/national-healthcare-review/oig-determination-veterans-health-administrations-severe-1,https://web.archive.org/web/20260704105221/https://www.vaoig.gov/reports/national-healthcare-review/oig-determination-veterans-health-administrations-severe-1,f347391bb6b6673b3aa002f1c8cc280c4b802a378d8576d2bbcd39abf2b8a29c,ARCHIVED,2026-07-04,C,,,
S-0026,https://www.vaoig.gov/reports/audit/audit-vas-financial-statements-fiscal-year-2025,https://web.archive.org/save/https://www.vaoig.gov/reports/audit/audit-vas-financial-statements-fiscal-year-2025,https://web.archive.org/web/20260704105313/https://www.vaoig.gov/reports/audit/audit-vas-financial-statements-fiscal-year-2025,bc00b33b808bf8aabbd3df29474180ecb2a78ca92cc0462842485598eb68bea3,ARCHIVED,2026-07-04,CAL,,,
S-0027,https://www.benefits.va.gov/REPORTS/abr/docs/2025-abr.pdf,https://web.archive.org/save/https://www.benefits.va.gov/REPORTS/abr/docs/2025-abr.pdf,https://web.archive.org/web/20260608165600/https://benefits.va.gov/REPORTS/abr/docs/2025-abr.pdf,7f841236b5a2d7c3bee890b8b04fcda3ce14a880b0d019e90c3a0f4e303d7a46,ARCHIVED,2026-06-08,C,,,
S-0028,https://www.benefits.va.gov/reports/detailed_claims_data.asp,https://web.archive.org/save/https://www.benefits.va.gov/reports/detailed_claims_data.asp,https://web.archive.org/web/20260704105508/https://www.benefits.va.gov/reports/detailed_claims_data.asp,0d2a27085452948c8e0f49ec6f69a3f8107c160d02dd31706538d99d9e6bfa9e,ARCHIVED,2026-07-04,CAL,,,
S-0029,https://department.va.gov/board-of-veterans-appeals/wp-content/uploads/sites/19/2025/04/2024_bva2024ar.pdf,https://web.archive.org/save/https://department.va.gov/board-of-veterans-appeals/wp-content/uploads/sites/19/2025/04/2024_bva2024ar.pdf,https://web.archive.org/web/20260625165429/https://department.va.gov/board-of-veterans-appeals/wp-content/uploads/sites/19/2025/04/2024_bva2024ar.pdf,bca5ce600fd282aa1b3953ae21770a0111a64141721fc4ca32131cfd2aff5026,ARCHIVED,2026-06-25,CAL,,,
S-0030,https://benefits.va.gov/REPORTS/AMA/CMR/2025/cmr-appeals-modernization-feb-2025.pdf,https://web.archive.org/save/https://benefits.va.gov/REPORTS/AMA/CMR/2025/cmr-appeals-modernization-feb-2025.pdf,https://web.archive.org/web/20260607060456/https://www.benefits.va.gov/REPORTS/AMA/CMR/2025/cmr-appeals-modernization-feb-2025.pdf,2bd88bd69b0e4dfa833c896dc048273322769a0cd27abab3aa6ff08a173ba229,ARCHIVED,2026-06-07,CAL,,,
S-0101,https://www.mentalhealth.va.gov/docs/data-sheets/2025/2025_Annual_Report_Part_1_508.pdf,https://web.archive.org/save/https://www.mentalhealth.va.gov/docs/data-sheets/2025/2025_Annual_Report_Part_1_508.pdf,https://web.archive.org/web/20260422140927/https://www.mentalhealth.va.gov/docs/data-sheets/2025/2025_Annual_Report_Part_1_508.pdf,cab07c5cf067b9348dc0194885ff83f7f858400ff23977ae8c20e74fc074c40f,ARCHIVED,2026-04-22,CAL,,,
S-0102,https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html,https://web.archive.org/save/https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html,https://web.archive.org/web/20260704110010/https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html,14d05e7f7d03a8f49d4d8ce09725a2a94324f9f2486ae1af63b547257cdbd8df,ARCHIVED,2026-07-04,CAL,,,
S-0103,https://www.gao.gov/products/gao-26-108812,https://web.archive.org/save/https://www.gao.gov/products/gao-26-108812,https://web.archive.org/web/20251212152821/https://www.gao.gov/products/gao-26-108812,88d96473b19a38730138bdc14f685e54b737f9895af74cf38db7f9ee4337d134,ARCHIVED,2025-12-12,CAL,,,
S-0104,https://www.gao.gov/products/gao-26-108474,https://web.archive.org/save/https://www.gao.gov/products/gao-26-108474,https://web.archive.org/web/20260507173225/https://www.gao.gov/products/gao-26-108474,67295d2439955a06f4f230cfb82e9746927e8c1bac46bd0cdfc4975742a7790d,ARCHIVED,2026-05-07,CAL,,,
S-0105,https://www.vaoig.gov/sites/default/files/reports/2025-03/vaoig-24-03692-76_final_redacted.pdf,https://web.archive.org/save/https://www.vaoig.gov/sites/default/files/reports/2025-03/vaoig-24-03692-76_final_redacted.pdf,https://web.archive.org/web/20250327190140/https://www.vaoig.gov/sites/default/files/reports/2025-03/vaoig-24-03692-76_final_redacted.pdf,b1dae75a46a9f2cc9bd352a68392f114a5831417a0f6e2c7b4c3854105254e77,ARCHIVED,2025-03-27,CAL,,VALIDATION DEFECT: canonical truncated to bare vaoig.gov; archived homepage not the report; CORRECT canonical: https://www.vaoig.gov/sites/default/files/reports/2025-03/vaoig-24-03692-76_final_redacted.pdf,
S-0106,https://www.vaoig.gov/sites/default/files/reports/2025-05/vaoig-24-03127-66-final-locked.pdf,https://web.archive.org/save/https://www.vaoig.gov/sites/default/files/reports/2025-05/vaoig-24-03127-66-final-locked.pdf,https://web.archive.org/web/20250718163838/https://www.vaoig.gov/sites/default/files/reports/2025-05/vaoig-24-03127-66-final-locked.pdf,8c8fa8bc6470ad21f7a87e9db42aa434ea5a171da6e7e5a531ca3dac53425f5e,ARCHIVED,2025-07-18,CAL,,VALIDATION DEFECT: canonical truncated to bare vaoig.gov; CORRECT canonical: https://www.vaoig.gov/sites/default/files/reports/2025-05/vaoig-24-03127-66-final-locked.pdf,
S-0107,https://www.congress.gov/crs-product/R48608,https://web.archive.org/save/https://www.congress.gov/crs-product/R48608,https://web.archive.org/web/20260704110930/https://www.congress.gov/crs-product/R48608,153db9678e8d4cc9652bac6f1481edcf68426725b71179dd23ac86c3df0cd126,ARCHIVED,2026-07-04,CAL,,,
S-0108,https://www.congress.gov/congressional-record,https://web.archive.org/save/https://www.congress.gov/congressional-record,https://web.archive.org/web/20260704111004/https://www.congress.gov/congressional-record,d01c96f7ad0143480f9ac8e999b85143fc2483b95d4c978300ff8cd41703707e,ARCHIVED,2026-07-04,CAL,,,
