claim,cited_sources,archive_gate
C-0001,S-0004 S-0007,archived
C-0002,S-0006 S-0007,archived
C-0003,S-0007 S-0018,archived
C-0004,S-0008 S-0026,archived
C-0005,S-0101,archived
C-0006,S-0105 S-0106,archived
C-0007,S-0105,archived
C-0008,S-0105,archived
C-0009,S-0007,archived
C-0010,S-0007,archived
C-0011,S-0025,archived
C-0012,S-0025,archived
C-0013,S-0101,archived
C-0014,S-0101,archived
C-0015,S-0103,archived
C-0016,S-0103,archived
C-0017,S-0111,archived
C-0018,S-0112 S-0116,archived
C-0019,S-0105,archived
C-0020,S-0008 S-0026,archived
C-0021,S-0101,archived
